"","x"
"전용면적...",1.6743874730183
"거래금액.만원.",2.794556972527
"층",1.10866518508565
"건축년도",1.46146729400651
"매칭.구_강남구",1.325089347973
"매칭.구_강동구",1.31110909267933
"매칭.구_강북구",1.61456293355947
"매칭.구_광진구",1.28012676818675
"매칭.구_구로구",1.16250111084466
"매칭.구_노원구",1.13529886614617
"매칭.구_동대문구",1.53308214004531
"매칭.구_동작구",1.22334279234399
"매칭.구_서대문구",1.3868209177196
"매칭.구_성북구",1.47670613900159
"매칭.구_송파구",1.16982253129833
"매칭.구_양천구",1.02840228129341
"매칭.구_영등포구",1.20358741231812
"매칭.구_용산구",1.06432911903022
"매칭.구_중구",1.0512808416349
